old_name,new_name
ready_level_1,ready_level_1
ready_level_11,ready_level_2
ready_level_2,ready_level_3
ready_level_3,ready_level_4
ready_level_7,ready_level_5
ready_level_12,ready_level_6
ready_level_14,ready_level_7
ready_level_16,ready_level_8
ready_level_23,ready_level_9
ready_level_26,ready_level_10
ready_level_62,ready_level_11
ready_level_10,ready_level_12
ready_level_4,ready_level_13
ready_level_6,ready_level_14
ready_level_8,ready_level_15
ready_level_13,ready_level_16
ready_level_17,ready_level_17
ready_level_19,ready_level_18
ready_level_20,ready_level_19
ready_level_27,ready_level_20
ready_level_28,ready_level_21
ready_level_32,ready_level_22
ready_level_39,ready_level_23
ready_level_43,ready_level_24
ready_level_45,ready_level_25
ready_level_46,ready_level_26
ready_level_51,ready_level_27
ready_level_53,ready_level_28
ready_level_54,ready_level_29
ready_level_59,ready_level_30
ready_level_60,ready_level_31
ready_level_18,ready_level_32
ready_level_25,ready_level_33
ready_level_55,ready_level_34
ready_level_56,ready_level_35
ready_level_38,ready_level_36
ready_level_57,ready_level_37
ready_level_61,ready_level_38
ready_level_15,ready_level_39
ready_level_21,ready_level_40
ready_level_31,ready_level_41
ready_level_9,ready_level_42
ready_level_37,ready_level_43
ready_level_41,ready_level_44
ready_level_49,ready_level_45
ready_level_35,ready_level_46
ready_level_29,ready_level_47
ready_level_44,ready_level_48
ready_level_47,ready_level_49
ready_level_48,ready_level_50
ready_level_50,ready_level_51
ready_level_42,ready_level_52
ready_level_52,ready_level_53
ready_level_5,ready_level_54
ready_level_58,ready_level_55
ready_level_30,ready_level_56
ready_level_34,ready_level_57
ready_level_22,ready_level_58
ready_level_33,ready_level_59
ready_level_24,ready_level_60
ready_level_40,ready_level_61
ready_level_63,ready_level_62
ready_level_36,ready_level_63
